Trait	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	StandCount	StandCount	StandCount	StandCount	StandCount	StandCount	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselBranchLength	TasselBranchLength	TasselBranchLength	TasselBranchLength	Spikelets-MainSpike	Spikelets-MainSpike	Spikelets-PrimaryBranch	Spikelets-PrimaryBranch	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	TasselSterility	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	NumberofLeaves	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	UpperLeafAngle-BorderPlant	LeafWidth-BorderPlant	LeafSheathLength	TilleringIndex-BorderPlant	Phylotaxy	NumberofTilleringPlants	NumberofTilleringPlants	SizeofTillers	NR	NR	CS	GS	GLDH	AlaAT	AGPase	ShikDH	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIROil	NIROil	NIROil	NIROil	NIROil	NIROil	NorthernLeafBlight	NorthernLeafBlight(Percentage)	NorthernLeafBlight(Percentage)	NorthernLeafBlight-IncubationPeriod	SouthernLeafBlight	SouthernLeafBlight	SouthernLeafBlight	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	KernelFillPercentage	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	RowQuality	RowQuality	HerbicideSensitivity
SC213R	4	5	8	6	NaN	3	0	5.5	6	15	5	NaN	NaN	NaN	106	88	NaN	106	85	NaN	NaN	NaN	NaN	96	106	85	NaN	98	82	86	NaN	NaN	NaN	964.80278	1134.22111	1092.22111	NaN	1005.27389	1110.134445	1029.44222	NaN	NaN	NaN	1167.47	964.80278	1081.134445	1029.44222	NaN	994.163335	1071.80278	989.72111	1128.02389	NaN	NaN	NaN	0	53.081665	62.77389	NaN	11.110555	38.331665	39.72111	NaN	NaN	NaN	407	357	NaN	NaN	NaN	322	388	NaN	287	229	NaN	NaN	NaN	164	241	NaN	11	16	NaN	NaN	NaN	12	14	NaN	NaN	220	NaN	146	26	25	16	15	NaN	4	NaN	4	NaN	NaN	160	175	165	75	140	150	190	NaN	180	NaN	NaN	80	70	65	30	55	75	85	NaN	95	NaN	NaN	4.5	802	1060	884.5	NaN	862	968	997	913	NaN	110	128	109	NaN	100	101	115	120	NaN	80	80	NaN	55	NaN	NaN	NaN	NaN	NaN	NaN	55	65	NaN	NaN	NaN	NaN	NaN	0.5	0	NaN	NaN	NaN	NaN	122	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.17	63.835	NaN	NaN	NaN	NaN	NaN	15.73	14.915	NaN	NaN	NaN	NaN	7.38	5.85	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	7.75	7.75	6.5	NaN	NaN	24.6375	NaN	NaN	27	24.675	NaN	NaN	NaN	18.3925	NaN	NaN	19.3	26.7	NaN	NaN	NaN	NaN	NaN	NaN	32	32.61	NaN	NaN	NaN	148	NaN	NaN	127	149.075	NaN	NaN	NaN	NaN	NaN	114	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12	12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	2	NaN
SC357	7	7	10	6	NaN	6	5	5.5	8	15	5	NaN	NaN	92	107	79.5	57	89	74	85	90	76	NaN	92	106	78.5	57	88	76	87	92	74	NaN	964.80278	992.40139	962.22111	964.44222	904.163335	944.05278	951.94222	1111	1054.25	NaN	1112.69	964.80278	974.636945	962.22111	964.44222	896.110555	970.610555	959.72111	1144.05278	1012.581665	NaN	0	0	17.761945	0	0	8.05278	-26.55278	-7.77389	-33.05278	41.663335	NaN	275.5	257	269.5	226	281	277	284	244	178	165	163	126	162.5	149	197	153	18	18	19	14	21	23	18	17	156	158	143	144	28	41	25	18	3	2	3	4	NaN	NaN	140	135	147.5	105	150	140	140	95	160	140	NaN	55	65	65	40	65	70	65	35	70	65	NaN	4.5	785	814	830.25	749	792	764	835	828	809	95	78	78	68	67	73	76	73	96	70	70	70	60	55	70	65	NaN	NaN	NaN	77.5	67.5	NaN	70	NaN	NaN	NaN	0.5	0	NaN	NaN	65	97	128	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.71	63.82	63.46	61.63	65.4	NaN	NaN	16.62	14.34	14.51	16.15	12.75	NaN	6.9	5.84	6.78	6.29	6.58	NaN	2	NaN	NaN	NaN	8	8	5.5	17	NaN	20.3275	NaN	23	24	20.045	26	NaN	NaN	12.4025	NaN	14.75	16.7	14.95	21.35	34	NaN	NaN	NaN	41	40	33.635	37.5	130	NaN	107.245	NaN	105.5	109	106.965	123.5	86	NaN	NaN	75	92	83.77	110	14	NaN	12	NaN	15	16	12	16	60	NaN	NaN	NaN	50	NaN	58	NaN	NaN	NaN	56.5	75	49.35	78	22	NaN	NaN	NaN	16	23.5	NaN	NaN	NaN	NaN	4.15	3.7	3.25	3.65	2	2	NaN
SC55	15	7	10.5	4	NaN	10	7	6	9	12	7	NaN	NaN	93	NaN	83.5	62	106	79	NaN	101	77	NaN	93	NaN	82.5	63	96	79	NaN	97	76	NaN	NaN	1058.358058	976.663335	1043.610555	NaN	1020.77389	989.72111	NaN	1074.5	NaN	1125.94	NaN	1041.343613	962.22111	1059.163335	NaN	1020.77389	970.831665	NaN	1054.25	NaN	0	NaN	17.011945	14.44222	-15.55278	NaN	0	18.884445	NaN	20.25	NaN	250.5	208	245	221	216	194	249	223	137.5	145	115	122	115	116	102	123	25	24	24	24	23.5	21	23	27	132	158	122	114	22	32	20	18	5	2	7	1	7	NaN	155	NaN	172.5	130	140	165	200	120	170	170	NaN	95	NaN	100	60	75	NaN	105	75	105	95	NaN	4.5	795	822	773	733	731	714	837	NaN	714	92	85	99.5	93	99	82	97	NaN	114	80	NaN	NaN	50	75	NaN	NaN	NaN	NaN	NaN	NaN	75	NaN	60	NaN	NaN	0	0	0	NaN	NaN	NaN	NaN	153	0	150	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.735	68.6	68.03	NaN	NaN	NaN	NaN	15.14	14.6	12.96	NaN	NaN	NaN	5.925	4.89	5.58	NaN	NaN	3	NaN	NaN	NaN	8	7.75	6.5	NaN	NaN	24.4375	26.57	25	29	26.435	30	NaN	NaN	11.3675	9.3	9.15	11	18.75	9.4	NaN	NaN	38.015	36.44	38.5	45	43.045	42	NaN	NaN	112.9225	60.65	96	107	122.935	98.5	NaN	NaN	59.75	95	75	103.845	77	NaN	NaN	14	14	14	20	16	16	NaN	NaN	56.25	25	45	NaN	NaN	NaN	47.625	29.8	44	66	100.6	46.5	NaN	NaN	21.25	10	16	23	NaN	NaN	3.9225	5.5	4.8	4.2	5.4	3.45	1	3	NaN
SD40	14	10	10.5	6	NaN	10	7	6.5	8	13	6	NaN	NaN	78	97	71	50	79	71	78	84	63	NaN	76	97	70.5	49	77	67	76	82	62	NaN	936.94222	846.4302775	829.163335	847.77389	772.5	891.884445	879.44222	987.134445	829.72111	NaN	859.38	936.94222	844.6658325	789.163335	830.27389	748.331665	821.25	841.110555	953	810.384445	NaN	25.61	0	1.764445	40	17.5	24.163335	70.634445	38.331665	34.134445	19.331665	NaN	480	416.5	405.5	355	354	337	473	520	312	242	266.5	289	248.5	224	353	362	18	18	11.5	5	7	13	6	9	NaN	274	242	200	29	37	22	26	NaN	3	1	1	NaN	NaN	150	180	162.5	110	135	185	145	110	175	195	NaN	70	85	77.5	45	80	95	65	45	90	85	NaN	4.5	656	803	821.75	682	860	859	925	900	942	103	103	103.75	63	92	90	102	127	111	60	60	62.5	50	70	75	50	65	70	NaN	80	70	NaN	70	NaN	NaN	NaN	0	0	NaN	NaN	75	NaN	138	0	175	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72.23	65.445	72.04	67.19	65.47	58.28	NaN	12.55	15.205	9.45	14.5	15.91	16.67	4.66	4.155	3.76	6.19	4.76	5.45	3	NaN	NaN	NaN	7.25	7.75	4.5	27	29.5	25.3325	20.92	26	32	24.23	27.5	41	34.1	NaN	10.35	24	45.6	24.16	42.65	NaN	44	40.0375	35.375	34	45	35.145	45.5	NaN	209	198.755	110.88	191	213	187.39	214.5	NaN	185.5	86.37	131	186	157.555	209.5	13	16	NaN	13	16	14	12	17	80	150	NaN	45	50	NaN	NaN	136	NaN	48.7	57	201	93.1	214	45	34.5	NaN	17	16	32	NaN	5.95	NaN	4.95	7.2	6.1	4.62	4.75	2	3	NaN
SD44	16	9	11	6	NaN	8	6	7	8	12	7	NaN	NaN	68	86	68	48	76	64	65	74	60	NaN	68	85	64	45	73	62	63	74	59	NaN	812.581665	802.6802775	789.163335	813.05278	736.94222	778.25	771.663335	811.134445	773.72111	NaN	735.66	793.884445	743.733055	727.5	763.05278	698.05278	751.97111	745.55278	789.163335	756.413335	NaN	0	18.69222	58.9422225	61.663335	50	38.884445	26.27389	26.110555	21.97111	17.30278	NaN	254	334.5	302	221	282	295	328	366	174.5	253	232.5	172	210	218	232	211	13.5	7	11	4	8	13	10	16	126	148	NaN	166	33	25	15	12	2	0	NaN	2	NaN	NaN	115	120	125	75	130	160	115	95	140	135	NaN	35	25	45	25	45	50	40	30	65	50	NaN	5	614	639	574	565	661	732	608	657	715	92	87	72.25	64	82	84	82	107	112	62.5	70	50	55	45	65	35	55	55	NaN	57.5	55	NaN	40	NaN	NaN	NaN	0	0	NaN	NaN	65	100	119	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.65	NaN	NaN	70.33	67.37	NaN	NaN	16.695	NaN	NaN	15.14	17.53	NaN	2.775	NaN	NaN	3.55	2.88	4	NaN	NaN	NaN	7.5	7	4	22	25	24.895	22	NaN	NaN	27.215	28.5	21	18.3	18.765	7.05	NaN	NaN	26.99	28.4	39	43	41.31	31.905	NaN	NaN	39.385	42.5	143	179	145.605	94.835	NaN	NaN	147.06	181	128	133	74.91	NaN	NaN	136.335	172.5	17	16	17	14	NaN	NaN	15	18	120	110	117.5	25	NaN	NaN	NaN	85	107.055	26.45	NaN	NaN	55.995	142.5	29	28	29.5	16	NaN	22.5	NaN	3.9	5.185	3.1	NaN	NaN	3.82	4.1	4	2	NaN
Sg1533	7	8	10.5	3	NaN	7	5	6.5	1	11	6	NaN	NaN	86	100	73.5	55	86	69	74	87	70	NaN	84	98	71.5	54	81	69	73	86	67	NaN	964.80278	885.5552775	880.27389	931.110555	870.27389	856.5	879.44222	924.30278	939.44222	NaN	982.77	944.110555	850.509445	874.44222	914.163335	805.27389	856.5	866.663335	909.72111	895.134445	NaN	36.97	20.69222	35.0408325	5.831665	16.94222	65	0	12.77389	14.581665	44.30278	NaN	349	374	357.5	287	343	238	353	318	266	250	257	205	256	144	241	203	14.5	18.5	17	12	18	18	18	29	198	228	NaN	200	38	45	26	26	2	3	NaN	3	4	NaN	140	120	125	105	125	150	155	115	185	155	NaN	85	75	85	45	40	105	90	70	120	60	NaN	4	770	768	756.25	NaN	717	654	742	857	892	92	81	70.5	64	85	81	89	95	112	47.5	80	67.5	30	60	80	60	60	NaN	NaN	57.5	45	NaN	60	NaN	NaN	0	0	1	1	NaN	80	92	122	0	NaN	0	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66.24	65.285	NaN	NaN	64.15	66.17	NaN	13.84	14.25	NaN	NaN	15.79	14.59	4.59	4.06	NaN	NaN	4.36	3.82	4	NaN	NaN	NaN	7.5	6.75	4	NaN	22	20.525	19.64	NaN	21	21.13	24.5	NaN	10.8	11.6075	8.1	NaN	4.8	11.75	10.75	NaN	30	29.935	30.23	NaN	31	32.9	38.5	NaN	127	128.315	120.22	NaN	124	131.72	137	NaN	121	108.17	NaN	122	123.155	131.5	NaN	14	13.5	12	NaN	14	14	14	NaN	40	50	35	NaN	NaN	NaN	43	48.9225	43.2	NaN	46	64	65.5	NaN	26	21.25	22	NaN	27.5	NaN	2.8	3.39	3.8	NaN	2.5	3.35	3.2	1	3	NaN
Sg18	6	3	7.5	4	NaN	2	3	4.5	9	11	4	NaN	NaN	84	NaN	77	53	88	74	76	95	71	NaN	80	107	74	51	83	70	73	90	69	NaN	NaN	947.9566675	893.610555	897.77389	896.110555	944.05278	904.72111	953	958.47111	NaN	915.19	964.80278	894.2908325	874.44222	865.27389	828.610555	873.55278	879.44222	909.72111	922.52389	NaN	67.58	NaN	53.6658325	19.163335	32.5	67.5	70.5	25.27389	43.27389	35.94222	NaN	359	321	365	280	308.5	343	342	248	203	205	217	167	182.5	189	210	122	24	18	21.5	19	25	26	23	24	NaN	228	172	142	24	26	17	17	NaN	4	3	2	NaN	NaN	160	145	165	105	140	165	140	90	180	175	NaN	100	80	100	55	75	100	65	45	120	105	NaN	4.5	711	840	789.5	NaN	758	771	712	892	893	75	75	75.5	64	70	80	80	82	93	22.5	25	45	45	35	45	10	30	70	NaN	60	50	NaN	65	NaN	NaN	0	0.5	0	NaN	NaN	NaN	84	126	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.54	66.09	NaN	69.33	64.13	67.51	NaN	15.04	14.02	NaN	11.87	15.65	14.09	3.64	3.66	NaN	3.91	3.56	3.93	2	NaN	NaN	NaN	7.75	7.75	4	NaN	22	18.37	20.37	21	27	20.14	22.5	NaN	4.3	8.205	7.4	9.45	8.4	10.2	11.3	NaN	26	26.6575	29.85	31	36	27.225	32	NaN	121	131.885	112.48	132	96	138.815	138	NaN	NaN	106.34	121	79	125.265	130.5	NaN	16	14.5	16	18	18	15	20	NaN	20	35	20	40	NaN	NaN	24	36.0175	23.5	40.5	42	43.4	58.5	NaN	NaN	26.75	18	25	30	NaN	NaN	2.255	2.3	2.15	2.7	2.15	2	2	3	NaN
T232	12	6	9.5	6	NaN	9	0	6.5	6	12	5	NaN	NaN	86	98	77.5	58	91	75	82	90	NaN	NaN	84	97	75.5	56	88	74	80	89	NaN	NaN	944.110555	956.108055	962.22111	980.55278	930.831665	956.884445	959.72111	1055.75	NaN	NaN	982.77	936.94222	921.2475	893.610555	948.610555	896.110555	944.05278	879.44222	1020.581665	NaN	NaN	36.97	7.163335	34.858055	68.610555	31.94222	34.72111	12.831665	80.27389	35.163335	NaN	NaN	332	358	298.5	278	NaN	266	326	NaN	224	238	182	188	NaN	200	244	NaN	14	15	15.5	10	16	18	10	NaN	NaN	190	NaN	113	19	19	15	11	NaN	2	NaN	2	NaN	NaN	165	175	192.5	85	175	195	175	120	185	NaN	NaN	80	95	97.5	35	80	110	85	40	100	NaN	NaN	4	698	787	733.75	675	822	719	693	730	NaN	87	83	92.25	61	82	79	93	94	NaN	75	75	80	60	80	80	80	NaN	NaN	NaN	72.5	80	NaN	70	NaN	NaN	NaN	0	0	NaN	NaN	80	88	126	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.02	NaN	70.33	NaN	NaN	NaN	NaN	12.93	NaN	13.42	NaN	NaN	NaN	4.42	NaN	4.09	NaN	NaN	NaN	2	NaN	NaN	NaN	8	8.25	5.5	23	24.5	22.1075	NaN	24	23	22.645	25	9.4	10.05	16.58	NaN	12.6	15.6	17.2	15	28	34	33.665	NaN	NaN	38	34.54	39	108	130	133.5075	NaN	110	116	134.91	129	79	NaN	NaN	91	107	113.19	124	9	NaN	11.75	NaN	14	12	12	12	30	10	NaN	NaN	60	60	28.6	NaN	NaN	NaN	64	49	63.85	73.5	13	NaN	NaN	NaN	13	17	NaN	5.15	NaN	NaN	7.6	6.9	7	6.85	2	2	NaN
T234	8	3	6.5	5	NaN	13	4	5	2	9	6	NaN	NaN	86	99	87	NaN	89	75	77	90	75	NaN	85	94	85.5	61	86	74	75	88	75	NaN	954.02389	1119.52639	1065.27389	NaN	904.163335	956.884445	989.72111	969.94222	1032.72111	NaN	1000.94	913.634445	984.634445	990.27389	1028.331665	870.27389	944.05278	959.72111	937.97111	1032.72111	NaN	18.8	40.384445	65.860555	75	NaN	33.884445	12.831665	30	31.97111	0	NaN	296	310	310.5	229	NaN	315	310	325	208	228	252.5	162	NaN	215	215	260	15.5	21	11.5	9	15	15	17	8	224	278	NaN	256	26	21	12	15	2	3	NaN	2	NaN	NaN	145	130	122.5	70	NaN	165	135	90	165	180	NaN	60	55	50	30	NaN	90	55	40	75	75	NaN	5.5	599	749	653.3333333	626	783	764	679	735	664	126	132	108.6666667	72	120	123	114	132	130	62.5	65	80	55	65	55	45	55	65	NaN	55	62.5	NaN	65	NaN	NaN	NaN	0	1	NaN	NaN	60	97	109	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.4	67.405	72.39	NaN	72.12	NaN	NaN	15.52	15.53	12.48	NaN	11.92	NaN	6.05	4.22	3.38	NaN	4.5	NaN	3	NaN	NaN	NaN	7.75	7	7	19	26	NaN	22.34	NaN	32	25.61	26	14	24.6	NaN	8.4	NaN	24.4	17.55	15.45	36	35	NaN	29.55	NaN	50	41.105	39	104	163	NaN	81.56	NaN	141	166.21	135.5	76	NaN	57.51	NaN	127	140.255	133.5	14	14	NaN	10	NaN	16	18	15	60	50	NaN	NaN	NaN	60	64.6	55	NaN	NaN	NaN	150	100.1	95.5	31	NaN	NaN	8	NaN	30.5	NaN	5.7	NaN	NaN	NaN	6	4.45	4.8	2	3	NaN
T8	18	12	10.5	6	NaN	12	7	7	8	15	6	NaN	NaN	84	98	73.5	57	82	69	76	86	70	NaN	82	94	74	59	82	71	NaN	87	68	NaN	944.110555	885.5552775	880.27389	964.44222	818.610555	856.5	904.72111	953	939.44222	NaN	948.02	913.634445	894.6922225	888.331665	997.22111	818.610555	891.884445	920	NaN	908.331665	NaN	34.75	30.47111	-9.136945	-8.05278	-32.77389	0	-35.384445	-15.27389	NaN	31.110555	NaN	336	356	331.5	NaN	351	298	338	318	261	269	245.5	NaN	243	218	246	211	10	14	13	5	14.5	18	18	18	NaN	254	226	176	22	23	13	15	NaN	1	0	2	NaN	NaN	155	175	157.5	105	175	185	185	85	205	165	NaN	85	80	97.5	50	110	100	100	40	130	90	NaN	5	705	809	750	625	768	819	760	810	752	96	91	89	76	84	83	99	88	101	65	70	72.5	55	65	75	60	65	80	NaN	75	65	NaN	75	NaN	NaN	NaN	0.5	0	NaN	NaN	65	95	131	0	125	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.49	63.69	NaN	66.51	NaN	65.47	NaN	14.87	15.65	NaN	13.7	NaN	14.34	5.82	4.12	NaN	5.04	NaN	3.73	2	NaN	NaN	NaN	8.5	8.25	6.5	NaN	19	23.475	18.4	21	17	24.59	27	NaN	11.65	17.4425	8.1	16.2	5.9	23.445	21.85	NaN	32.5	37.8475	28.87	41	30	39.565	44.5	NaN	133.5	168.1675	129.57	165	120	177.71	169.5	NaN	NaN	126.86	141	96	167.005	160	NaN	NaN	11.5	10	14	12	13	13	NaN	30	100	50	100	NaN	NaN	NaN	95.425	44	89	42	133.255	137.5	NaN	NaN	28.5	26	23	36.5	NaN	5.9	5.8525	3.4	6.8	4.1	5.995	6.35	1	2	NaN
Tx303	3	5	6.5	6	NaN	0	3	3	5	9	7	NaN	NaN	72	NaN	83.5	61	93	79	73	NaN	81	NaN	90	104	82	60	87	75	71	NaN	83	NaN	NaN	966.25	962.22111	1028.331665	949.163335	1020.77389	980	909.72111	NaN	NaN	1082.55	964.80278	1032.47111	913.05278	1014.163335	883.331665	956.884445	920	882.27389	1178.634445	NaN	NaN	NaN	35.52389	49.163335	14.163335	65.831665	63.884445	60	27.44222	NaN	NaN	394.5	358	388	301	NaN	328	414	NaN	239	247	237	218	NaN	183	246	NaN	21	24	17	15	NaN	27	23	NaN	198	212	NaN	182	32	36	19	15	0	3	NaN	1	NaN	NaN	170	170	180	105	185	NaN	190	130	NaN	200	NaN	85	95	95	45	100	NaN	105	65	NaN	95	NaN	NaN	721	831	797.3333333	696	776	727	665	804	822.5	101	99	100.6666667	80	94	87	91	97	97	80	80	75	55	65	NaN	65	75	NaN	NaN	65	65	NaN	70	NaN	NaN	1	0.5	0	NaN	NaN	67.5	96	124	0	125	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.76	66.33	70.3	NaN	NaN	65.56	NaN	13.19	13.18	12.27	NaN	NaN	13.74	4.38	4.07	3.97	NaN	NaN	4.16	3	NaN	NaN	NaN	7.25	6.75	6	29	NaN	28.225	20.535	31	NaN	26.935	NaN	16.5	NaN	13.855	6.8	7.3	NaN	13.9	NaN	43	NaN	46.735	NaN	43	NaN	41.005	NaN	NaN	NaN	139.125	85.46	98	NaN	130.795	NaN	118	NaN	NaN	79	NaN	123.065	NaN	14	NaN	15	NaN	14	NaN	13	NaN	120	NaN	127.5	NaN	60	100	NaN	NaN	97.51	NaN	48	NaN	72.45	NaN	26	NaN	27	NaN	14	28	NaN	NaN	6.34	NaN	4.8	NaN	4.55	NaN	1	2	NaN
Tx601	13	5	11	6	NaN	4	9	6	8	12	6	NaN	NaN	NaN	121	87	59	NaN	86	NaN	NaN	83	NaN	NaN	121	84	59	106	80	NaN	NaN	82	NaN	NaN	1115.634445	1003.884445	997.22111	NaN	1124.69222	998.610555	NaN	1178.634445	NaN	NaN	NaN	1065.817223	948.884445	997.22111	1005.27389	1037.413335	980	NaN	1159.97111	NaN	NaN	NaN	49.8172225	55	0	NaN	87.27389	18.610555	NaN	18.663335	NaN	NaN	341	NaN	318	355	340	NaN	269	NaN	271	NaN	230	257	255	NaN	176	NaN	18	NaN	14	12	12	NaN	23	NaN	216	170	188	0	45	0	13	NaN	1	0	0	1	NaN	NaN	210	187.5	110	NaN	NaN	190	115	215	195	NaN	NaN	140	102.5	45	NaN	NaN	115	60	130	135	NaN	4	1046	1009	939.25	776	782	NaN	950	NaN	1020	81	88	85.75	72	79	NaN	90	NaN	77	NaN	NaN	NaN	40	45	NaN	80	NaN	NaN	NaN	85	75	NaN	NaN	NaN	NaN	NaN	0.5	0	NaN	NaN	NaN	NaN	164	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.25	68.03	71.87	NaN	NaN	NaN	NaN	15.325	15.36	12.6	NaN	NaN	NaN	6.195	5.79	5.61	NaN	NaN	2	NaN	NaN	NaN	8.25	8.25	7	NaN	NaN	NaN	25.23	31	NaN	27.42	NaN	NaN	NaN	NaN	5.4	20.3	NaN	28.75	NaN	NaN	NaN	NaN	33.87	43	NaN	39.365	NaN	NaN	NaN	NaN	63.67	127	NaN	157.11	NaN	NaN	NaN	60.9	113	NaN	NaN	NaN	NaN	NaN	NaN	12	14	NaN	15	NaN	NaN	NaN	NaN	25	80	NaN	NaN	NaN	NaN	24.3	77	NaN	NaN	NaN	NaN	NaN	NaN	11	30	NaN	NaN	NaN	NaN	3.6	3.5	NaN	NaN	NaN	2	2	NaN
